image_id,category_id,bbox,score,logit,uncertainty,is_tp,risk
4668,1,"[111.68608093261719, 439.5592346191406, 23.190765380859375, 62.219329833984375]",0.5756145715713501,0.3047962185119988,0.0001372325787087,1,0.21715441856159684
4668,1,"[877.9904174804688, 432.5326232910156, 12.43634033203125, 34.931243896484375]",0.2956771850585937,-0.8679685268310747,4.490330320550129e-05,0,0.3537849061822921
4668,1,"[919.51708984375, 417.703857421875, 22.6126708984375, 45.21636962890625]",0.287759006023407,-0.9062929836332682,1.2366721421130931e-05,0,0.3565676212499995
4668,1,"[870.754150390625, 435.8111572265625, 9.93218994140625, 30.804901123046875]",0.2647914290428161,-1.0212117730915886,5.985287862131372e-05,0,0.3697682926760555
4668,2,"[111.635498046875, 439.59930419921875, 23.372772216796875, 62.197235107421875]",0.3695719838142395,-0.5340534439491323,0.0009114447748288,0,0.3481676955052965
4668,3,"[801.2423706054688, 439.2367248535156, 78.69317626953125, 31.55908203125]",0.4167742729187011,-0.3360295300814945,3.408876364119351e-05,1,0.2928453578094532
4668,3,"[269.88104248046875, 445.252197265625, 44.391845703125, 26.60760498046875]",0.367103636264801,-0.5446624905297579,9.241053339792415e-05,1,0.3197893254182681
4668,3,"[897.1282348632812, 430.6195373535156, 27.50634765625, 18.051422119140625]",0.3180625438690185,-0.7626899048105236,1.760903796821367e-05,1,0.34160539059169465
4668,3,"[790.3563232421875, 413.30810546875, 34.17364501953125, 19.99127197265625]",0.2988196611404419,-0.8529248619477477,1.2147684174124151e-05,1,0.3510293743033097
4668,3,"[233.685791015625, 440.88922119140625, 80.72344970703125, 30.949462890625]",0.2794287204742431,-0.947297106251922,1.3326028238225264e-05,0,0.3607674481852197
4668,4,"[368.7254943847656, 116.44156646728516, 422.5225524902344, 521.6994247436523]",0.5286820530891418,0.1148543045122204,0.0001199386097141,1,0.239995406734056
4668,4,"[945.6114501953125, 408.31939697265625, 46.98779296875, 78.95648193359375]",0.3549088835716247,-0.5975304820634898,9.28620829654392e-06,1,0.3228813051666109
4668,5,"[856.7958984375, 405.6695556640625, 44.04425048828125, 32.009246826171875]",0.3667635023593902,-0.5461267337394863,3.205382017767988e-05,0,0.31777716881159834
4668,10,"[988.7109375, 172.90960693359375, 106.4810791015625, 169.3106689453125]",0.4511705338954925,-0.1959423748830799,3.223436942789704e-05,0,0.275580180881238
7277,1,"[146.80747985839844, 492.41607666015625, 53.63165283203125, 94.47808837890625]",0.3902406394481659,-0.4463008153681409,4.318410719861277e-05,0,0.3064410206984069
7277,2,"[146.07493591308594, 492.07843017578125, 54.603515625, 95.7557373046875]",0.2780414819717407,-0.9541973647030147,0.0001618286332814,0,0.36683024455138885
7277,3,"[950.6815185546875, 374.69732666015625, 328.6546630859375, 343.39093017578125]",0.5218245387077332,0.0873536596640262,3.4078824683092535e-05,1,0.240319865567528
7277,3,"[804.4793701171875, 419.9615173339844, 157.41827392578125, 133.80490112304688]",0.3740967810153961,-0.5146812201798481,2.139422213076614e-05,1,0.3137251270196381
7277,3,"[298.08087158203125, 427.53411865234375, 104.86553955078125, 86.48455810546875]",0.3594975471496582,-0.5775455967279159,8.315428203786723e-06,1,0.32055187439561916
7277,3,"[749.6090087890625, 411.81365966796875, 113.932373046875, 91.12417602539062]",0.3088596761226654,-0.8054558256070837,2.678895043572993e-06,1,0.34566701856927684
7277,3,"[148.16146850585938, 444.2862854003906, 170.6424560546875, 138.80856323242188]",0.2852616310119629,-0.9185097955187776,8.60690215631621e-06,1,0.3576803708336427
7277,4,"[722.2958374023438, 384.55126953125, 106.81695556640625, 98.12808227539062]",0.2675630152225494,-1.0070222000640534,6.952650437597185e-05,0,0.3687322537875046
3891,3,"[502.3583068847656, 289.1036682128906, 55.154510498046875, 33.465362548828125]",0.4841485917568207,-0.0634268881282779,3.079172893194482e-05,1,0.2590389926478218
3891,3,"[318.26995849609375, 290.0003662109375, 124.44342041015625, 69.90274047851562]",0.486583411693573,-0.0536792390642269,1.1440307389420925e-05,1,0.25712192350742613
3891,3,"[590.5191650390625, 277.6508483886719, 26.0732421875, 20.578277587890625]",0.4582766890525818,-0.1672822484116596,9.738756489241496e-06,1,0.27121376450543005
3891,3,"[627.3353271484375, 272.208740234375, 15.2996826171875, 12.841278076171875]",0.4324591755867004,-0.2718247538506472,1.07046671473654e-05,1,0.28415744416379113
3891,3,"[424.84735107421875, 286.3437194824219, 62.963104248046875, 55.276702880859375]",0.3946672081947326,-0.427735477007974,1.5121557225938886e-05,1,0.3032131224666278
3891,3,"[724.6022338867188, 285.36798095703125, 55.05194091796875, 33.39862060546875]",0.3932227492332458,-0.4337855130296623,7.345329322561156e-06,1,0.30365419900135343
3891,3,"[0.29880332946777344, 238.47872924804688, 164.6155948638916, 185.39080810546875]",0.3830364346504211,-0.4766798565728389,6.554978608619422e-05,1,0.31085176407167764
3891,3,"[0.7179946899414062, 536.7315673828125, 1278.7002182006836, 182.43994140625]",0.3855974674224853,-0.4658563090316057,1.9673283532029014e-05,0,0.30791256252281834
3891,3,"[770.5021362304688, 267.50726318359375, 107.5963134765625, 81.9149169921875]",0.338522732257843,-0.6698843722960274,2.091643909807317e-05,1,0.33149487694235863
3891,3,"[696.8258056640625, 271.6682434082031, 11.73028564453125, 14.814361572265625]",0.3318444192409515,-0.6998548094091022,1.531144152977504e-05,1,0.3346313822941857
3891,3,"[704.0520629882812, 272.9696960449219, 30.94403076171875, 30.0772705078125]",0.30980384349823,-0.8010365076838999,8.69857922225492e-06,1,0.3454125792152206
3891,4,"[603.8179321289062, 269.2529296875, 15.09869384765625, 12.947662353515625]",0.2853744626045227,-0.917956459852512,3.3538508432684466e-05,0,0.3585253682470388
3891,5,"[658.7786254882812, 260.94891357421875, 32.8302001953125, 13.930450439453125]",0.3038412034511566,-0.8290725824101123,7.329178333748132e-05,0,0.3507292949930194
3891,5,"[659.4786376953125, 267.25958251953125, 17.91845703125, 7.62908935546875]",0.2984222769737243,-0.8548221686001913,0.0001205127919092,0,0.3551460546020107
3891,9,"[800.1588134765625, 248.0693359375, 8.4716796875, 9.109527587890625]",0.4379073083400726,-0.2496595048867657,3.475934499874711e-05,0,0.2823030852632049
3891,9,"[815.5963745117188, 240.23440551757812, 7.3472900390625, 8.917037963867188]",0.4391884207725525,-0.244456457715827,9.117103218159173e-06,0,0.2807354224975311
3891,9,"[458.28875732421875, 243.1651153564453, 10.25323486328125, 9.312469482421875]",0.3161893486976623,-0.7713398148430268,4.436529343365692e-05,0,0.343509372382412
3891,10,"[723.177490234375, 243.97865295410156, 10.97125244140625, 15.341659545898438]",0.2776849567890167,-0.9559741695402756,8.248679660027847e-05,1,0.3641398680798874
5968,3,"[872.4886474609375, 260.33099365234375, 124.2032470703125, 106.83956909179688]",0.5226953029632568,0.090843634762737,1.650816193432547e-05,1,0.23924920838652924
5968,3,"[713.4281005859375, 261.16595458984375, 66.47882080078125, 42.31524658203125]",0.4019388258457184,-0.3973931441092488,4.098774297744967e-05,1,0.3005125169835063
5968,3,"[256.07537841796875, 271.4658203125, 95.612060546875, 52.64141845703125]",0.3898839056491852,-0.4478002406807089,1.1866177374031396e-05,1,0.30548707404655007
5968,3,"[510.8290100097656, 268.37518310546875, 37.677215576171875, 26.65191650390625]",0.3436352610588074,-0.6471358316633029,1.2904655704915058e-05,1,0.32864894298334096
5968,3,"[614.946044921875, 268.4643249511719, 26.2835693359375, 13.0257568359375]",0.319766104221344,-0.7548468991782797,6.0686674260068685e-05,0,0.3423111013354774
5968,3,"[979.1788940429688, 264.0430603027344, 202.20526123046875, 86.60699462890625]",0.2821248173713684,-0.9339461257809764,2.315075289516244e-05,0,0.35977461698535834
5968,3,"[67.49275207519531, 270.45703125, 113.93617248535156, 44.04681396484375]",0.2788176536560058,-0.9503340158346154,7.055240075715119e-06,1,0.3608462584854417
5968,4,"[67.37810516357422, 267.2154541015625, 166.2264175415039, 47.24847412109375]",0.2663431763648987,-1.0132557625702858,3.474635741440579e-05,0,0.3680846816789578
5968,5,"[1141.4559326171875, 172.30752563476562, 138.1043701171875, 30.648941040039062]",0.3454499244689941,-0.6391003957303747,0.0001756356214173,0,0.3336252210421127
5968,9,"[580.5442504882812, 253.9932098388672, 7.24346923828125, 9.694046020507812]",0.437981367111206,-0.2493586353209206,7.656958769075572e-05,0,0.28377772362357323
5968,9,"[560.5007934570312, 242.65908813476562, 9.86553955078125, 12.838180541992188]",0.424934059381485,-0.3025507110685035,5.571013389271684e-05,0,0.2895471947457839
5968,10,"[1012.7252197265625, 152.71456909179688, 30.9195556640625, 37.44793701171875]",0.3738464415073395,-0.5157505132284043,0.0001087855926016,1,0.31700997027728545
6731,1,"[683.9105224609375, 305.6363830566406, 14.33270263671875, 15.77935791015625]",0.4034205973148346,-0.3912326634879807,0.0001011994318105,0,0.30194861138770723
6731,3,"[1169.012451171875, 390.3182067871094, 110.746337890625, 211.65414428710938]",0.5966707468032837,0.391612214530794,1.6294030501740053e-05,1,0.20225374445022534
6731,3,"[814.0469970703125, 299.9341125488281, 238.1168212890625, 142.23434448242188]",0.4679537713527679,-0.1283608696419415,0.0001057992194546,1,0.2698483317176588
6731,3,"[139.35995483398438, 316.9667053222656, 168.19992065429688, 101.68450927734375]",0.4480701982975006,-0.2084709545930673,4.294295649742708e-05,1,0.27751752236388827
