logit,score,category,uncertainty,is_tp
-0.10814130674814727,0.4729909896850586,person,7.15986971044913e-05,0
-0.25607005302270125,0.43633002042770386,person,0.00038315047277137637,0
-0.41488472152800343,0.397741436958313,person,2.860921449610032e-05,0
-0.5178735333913581,0.3733496069908142,person,2.198352012783289e-05,0
-0.7217361723679339,0.32701078057289124,person,4.5593355025630444e-05,0
-0.7549344513907249,0.31974706053733826,person,7.523078966187313e-05,0
-0.8953389285899805,0.2900092899799347,rider,0.0003269099397584796,0
-1.0196361828898837,0.2650982737541199,rider,1.9123257516184822e-05,0
0.383464323165932,0.5947083830833435,car,8.351242286153138e-06,0
0.3429701347197037,0.5849118232727051,car,8.914846148400102e-06,1
-0.06018129738202356,0.484959214925766,car,1.2853505722887348e-05,0
-0.5287184304845259,0.37081584334373474,car,4.5996283006388694e-05,0
-0.5850180579057501,0.35777875781059265,car,4.76249770144932e-05,0
-1.0269486117940332,0.26367610692977905,bus,5.695491563528776e-05,0
-1.0545485704339326,0.2583526074886322,motorcycle,3.834543895209208e-05,0
-0.10598292883184027,0.47352904081344604,traffic light,4.4993983465246856e-05,0
-0.2491933737181188,0.43802204728126526,traffic light,6.749048043275252e-05,0
-0.28892306687037683,0.42826753854751587,traffic light,3.892571112373844e-05,0
-0.51984692421491,0.3728880286216736,traffic light,5.315598173183389e-05,0
-0.72000495108007,0.3273918926715851,traffic light,1.8299469957128167e-05,0
-0.9614003101005162,0.27659791707992554,traffic light,2.4326755010406487e-05,0
-0.5163496979995361,0.373706191778183,traffic sign,0.0004912583390250802,0
-0.9920771290742031,0.2705020010471344,traffic sign,1.2183244507468771e-05,0
0.288267543706613,0.571571946144104,car,3.849176937364973e-05,0
-0.34374080586127786,0.41490107774734497,car,8.590316610934678e-06,0
-0.5292219994177173,0.37069836258888245,car,3.506888970150612e-05,0
-0.6129070236807629,0.3513963520526886,car,0.00010277150431647897,0
-0.9165544168609385,0.2856604754924774,car,9.641625365475193e-05,0
-0.9734254512415013,0.2741982638835907,car,1.4083312635193579e-05,0
-0.9935164418941763,0.2702180743217468,car,4.438280939211836e-06,0
-0.9663626538732387,0.27560609579086304,car,8.813163731247187e-06,0
-1.0892794556083536,0.2517539858818054,car,0.0,0
-0.4418188800284639,0.39130765199661255,truck,0.00019091201829724014,0
-0.8432995396723454,0.3008403182029724,truck,0.00019911436538677663,0
-0.9353468314919495,0.2818412184715271,bus,4.561765672406182e-05,0
-1.073567755529733,0.2547251880168915,bus,2.2725269445800222e-05,0
-0.730213413665189,0.3251478970050812,motorcycle,0.0005298869800753891,0
0.36400666447463015,0.5900099873542786,traffic sign,0.00010977314377669245,0
-1.0498471381642331,0.25925445556640625,traffic sign,5.4538322729058564e-05,0
-1.065643562915037,0.25623244047164917,person,0.0,0
-1.0068283149910202,0.26760101318359375,person,8.535041706636548e-05,0
-0.03334700104525561,0.49166402220726013,car,4.521265145740472e-05,0
-0.40867967864134946,0.3992287516593933,car,4.983127382729435e-06,0
-0.4221875323267387,0.3959934115409851,car,2.456669244566001e-05,0
-0.6180364553489043,0.3502281606197357,car,0.00012497980787884444,0
-0.6346740792308072,0.34645146131515503,car,1.4463061233982444e-05,0
-0.6892530807597324,0.3341992497444153,car,1.3851376934326254e-05,0
-0.7124133401013659,0.32906579971313477,car,9.2057616711827e-06,0
-0.7618768800457797,0.31823891401290894,car,8.031857760215644e-06,0
-0.7015765880510905,0.3314627707004547,truck,0.0001703131856629625,0
-0.8130120883558551,0.3072490096092224,truck,6.174993177410215e-05,0
-1.041743250276071,0.26081377267837524,truck,4.0101836930261925e-05,0
-0.5796522982376875,0.3590126037597656,traffic light,3.119232496828772e-05,0
-0.42347084174583877,0.3956865072250366,traffic sign,3.054479748243466e-05,0
-0.5846329900128369,0.3578672409057617,traffic sign,5.9739868447650224e-05,0
-1.0746493641835457,0.25451990962028503,traffic sign,0.0,0
-1.0716697326009397,0.25508567690849304,traffic sign,2.964695795526495e-06,0
0.18986744570863054,0.5473247766494751,person,6.318229861790314e-05,0
0.09857259884196495,0.5246232151985168,person,3.520698010106571e-05,0
-0.2331743806004627,0.441969096660614,person,3.7152276490814984e-05,0
-0.7181330175552486,0.32780423760414124,person,0.0005259815370664,0
-1.0163786732653266,0.26573339104652405,rider,4.1429768316447735e-05,0
-0.17428487856483735,0.45653873682022095,car,9.879418939817697e-05,0
-0.5913282230554608,0.35633015632629395,car,7.706074939051177e-06,0
-0.6893808593032915,0.3341708183288574,car,7.3469573180773295e-06,0
-0.7033926237256456,0.3310604691505432,car,3.933243078790838e-06,0
-0.8311218768411527,0.3034079074859619,truck,0.0001993201149161905,0
-0.8630377329178421,0.29670506715774536,truck,5.622616663458757e-05,0
-0.48893491435897984,0.38014450669288635,motorcycle,0.00011866254499182105,0
-0.6973148348093074,0.3324078321456909,motorcycle,0.0004128463042434305,0
0.6259987799738872,0.6515816450119019,traffic light,9.062117896974087e-06,0
0.04001531403981481,0.5100024938583374,traffic light,3.57680837623775e-05,0
-0.09043725121958887,0.4774060845375061,traffic light,2.764566488622222e-05,0
