logit,score,category,uncertainty,is_tp
0.4190207249455299,0.6032488942146301,car,0.0,1
0.33801019297161494,0.5837070941925049,car,0.0,1
-0.08343550569625317,0.47915321588516235,traffic light,0.0,0
-0.09007244413183345,0.4774971008300781,car,0.0,1
-0.10175260205595191,0.47458377480506897,person,0.0,1
-0.23232203847314584,0.4421793222427368,traffic light,0.0,0
-0.2780287866577837,0.43093711137771606,traffic light,0.0,0
-0.2801209492000665,0.43042412400245667,person,0.0,0
-0.40643102023564054,0.399768203496933,person,0.0,1
-0.49897465309870553,0.3777816593647003,traffic light,0.0,0
-0.5003841066711415,0.3774504065513611,person,0.0,0
-0.5131252765246646,0.37446117401123047,car,0.0,0
-0.5191200387521754,0.373058021068573,traffic sign,0.0,0
-0.5653913197031452,0.36230093240737915,car,0.0,1
-0.6991500364722123,0.3320007026195526,person,0.0,0
-0.717816683213072,0.32787394523620605,traffic light,0.0,1
-0.7222062503038298,0.32690733671188354,person,0.0,0
-0.9673128413337524,0.27541643381118774,traffic light,0.0,0
-0.9705905472003536,0.2747628092765808,traffic sign,0.0,0
-1.007059154260643,0.26755577325820923,bus,0.0,0
-1.0182967163688212,0.2653593122959137,motorcycle,0.0,0
-1.0519935501377766,0.25884246826171875,bicycle,0.0,0
0.387046068897661,0.5955713987350464,traffic sign,0.0,1
0.28954700302646946,0.5718852281570435,car,0.0,1
-0.33986993070339167,0.41584107279777527,car,0.0,0
-0.4160959092712397,0.39745134115219116,truck,0.0,1
-0.5254061124660943,0.37158897519111633,car,0.0,1
-0.600782112345659,0.3541647791862488,car,0.0,1
-0.6678734936226611,0.33897316455841064,motorcycle,0.0,0
-0.86084129166103,0.29716360569000244,truck,0.0,0
-0.877165432563727,0.29376551508903503,bus,0.0,0
-0.9193282016731631,0.2850947976112366,car,0.0,1
-0.9671191577269623,0.2754550874233246,car,0.0,0
-0.9779235770405796,0.2733039855957031,car,0.0,0
-0.99719375493492,0.2694935202598572,car,0.0,1
-1.0832021866284758,0.25290051102638245,car,0.0,1
-1.0835407094957146,0.25283655524253845,bus,0.0,0
-0.03307727526556161,0.4917314350605011,car,0.0,1
-0.3943900401462964,0.40266093611717224,traffic sign,0.0,1
-0.42395706369685665,0.3955702483654022,car,0.0,1
-0.4243807564555798,0.39546895027160645,car,0.0,1
-0.5317193529678601,0.3701159656047821,traffic sign,0.0,1
-0.5576894403041821,0.3640822470188141,traffic light,0.0,0
-0.6130849921580864,0.35135579109191895,car,0.0,0
-0.6266650651690574,0.3482671082019806,car,0.0,1
-0.681338925010355,0.33596253395080566,truck,0.0,0
-0.6841352656968848,0.3353389799594879,car,0.0,0
-0.7144630050541579,0.32861343026161194,car,0.0,0
-0.7466191548125138,0.32155841588974,car,0.0,0
-0.9355651984714101,0.28179702162742615,traffic light,0.0,0
